%
%
% Run:0     Table:NOGRID            SWASH version:11.01
%
%       Tsec          Runlev   
%       [s]           [m]      
%
      0.00000        0.0074 
      1.02064        0.0074 
      2.01698        0.0074 
      3.01332        0.0074 
      4.00966        0.0074 
      5.00600        0.0074 
      6.00234        0.0074 
      7.02298        0.0074 
      8.01933        0.0074 
      9.01567        0.0074 
     10.01201        0.0074 
     11.00835        0.0074 
     12.00469        0.0074 
     13.00103        0.0074 
     14.02167        0.0074 
     15.01801        0.0074 
     16.01435        0.0074 
     17.01069        0.0074 
     18.00703        0.0074 
     19.00337        0.0074 
     20.02401        0.0074 
     21.02035        0.0074 
     22.01670        0.0074 
     23.01303        0.0074 
     24.00937        0.0074 
     25.00572        0.0074 
     26.00206        0.0074 
     27.02270        0.0074 
     28.01904        0.0074 
     29.01538        0.0074 
     30.01172        0.0074 
     31.00806        0.0074 
     32.00440        0.0074 
     33.00074        0.0074 
     34.02138        0.0074 
     35.01772        0.0074 
     36.01406        0.0074 
     37.01040        0.0074 
     38.00674        0.0074 
     39.00308        0.0074 
     40.02372        0.0074 
     41.02007        0.0074 
     42.01641        0.0074 
     43.01274        0.0074 
     44.00909        0.0074 
     45.00543        0.0074 
     46.00177        0.0074 
     47.02241        0.0074 
     48.01875        0.0074 
     49.01509        0.0074 
     50.01143        0.0074 
     51.00777        0.0074 
     52.00411        0.0074 
     53.00045        0.0074 
     54.02110        0.0074 
     55.01743        0.0074 
     56.01377        0.0074 
     57.01012        0.0074 
     58.00645        0.0074 
     59.00280        0.0074 
     60.02344        0.0074 
     61.01978        0.0074 
     62.01612        0.0074 
     63.01246        0.0074 
     64.00880        0.0074 
     65.00514        0.0074 
     66.00148        0.0074 
     67.02213        0.0074 
     68.01846        0.0074 
     69.01480        0.0074 
     70.01115        0.0074 
     71.00748        0.0074 
     72.00382        0.0937 
     73.00017        0.2968 
     74.02081        0.4766 
     75.01714        0.6640 
     76.01349        0.8453 
     77.00983        1.0200 
     78.00616        1.1928 
     79.00251        1.3661 
     80.02315        1.5375 
     81.01949        1.6942 
     82.01583        1.8605 
     83.01217        2.0070 
     84.00851        2.1461 
     85.00485        2.2852 
     86.00119        2.4131 
     87.02184        2.5291 
     88.01817        2.6339 
     89.01451        2.7383 
     90.01086        2.8420 
     91.00719        2.9332 
     92.00353        3.0155 
     93.02418        3.0856 
     94.02052        3.1551 
     95.01686        3.2236 
     96.01320        3.2696 
     97.00954        3.3229 
     98.00588        3.3605 
     99.00222        3.3958 
    100.02287        3.4300 
    101.01920        3.4623 
    102.01554        3.4873 
    103.01189        3.4991 
    104.00822        3.5134 
    105.00456        3.5268 
    106.00091        3.5288 
    107.02155        3.5271 
    108.01788        3.5215 
    109.01423        3.5093 
    110.01057        3.4877 
    111.00690        3.4480 
    112.00325        3.3956 
    113.02389        3.3448 
    114.02023        3.2839 
    115.01657        3.2210 
    116.01291        3.1573 
    117.00925        3.0940 
    118.00559        3.0273 
    119.00193        2.9592 
    120.02258        2.8857 
    121.01891        2.8162 
    122.01525        2.7434 
    123.01160        2.6743 
    124.00793        2.6100 
    125.00428        2.5286 
    126.00062        2.4676 
    127.02126        2.3928 
    128.01759        2.3151 
    129.01395        2.2467 
    130.01028        2.1783 
    131.00662        2.1092 
    132.00296        2.0400 
    133.02361        1.9687 
    134.01994        1.8987 
    135.01628        1.8275 
    136.01262        1.7560 
    137.00896        1.6845 
    138.00531        1.6130 
    139.00165        1.5418 
    140.02229        1.4691 
    141.01863        1.3981 
    142.01497        1.3268 
    143.01131        1.2550 
    144.00764        1.2278 
    145.00398        1.2680 
    146.00034        1.2938 
    147.02097        1.3101 
    148.01730        1.3326 
    149.01366        1.3415 
    150.00999        1.3430 
    151.00633        1.3426 
    152.00267        1.3404 
    153.02332        1.3317 
    154.01965        1.2916 
    155.01599        1.2764 
    156.01233        1.3806 
    157.00868        1.4844 
    158.00502        1.5804 
    159.00136        1.6583 
    160.02200        1.7288 
    161.01834        1.7984 
    162.01468        1.8674 
    163.01102        1.9335 
    164.00735        1.9717 
    165.00371        2.0102 
    166.00005        2.0588 
    167.02068        2.0842 
    168.01703        2.1105 
    169.01337        2.1406 
    170.00970        2.1444 
    171.00604        2.1454 
    172.00238        2.1467 
    173.02303        2.1471 
    174.01936        2.1454 
    175.01570        2.1151 
    176.01205        2.0808 
    177.00839        2.0349 
    178.00473        1.9864 
    179.00107        1.9270 
    180.02171        1.8637 
    181.01805        1.7999 
    182.01439        1.7368 
    183.01073        1.6701 
    184.00706        1.6022 
    185.00342        1.5329 
    186.02405        1.4606 
    187.02040        1.3892 
    188.01674        1.3177 
    189.01308        1.2415 
    190.00941        1.1722 
    191.00575        1.1137 
    192.00209        1.0348 
    193.02274        0.9676 
    194.01907        0.8950 
    195.01543        0.8238 
    196.01176        0.7528 
    197.00810        0.7162 
    198.00444        0.6967 
    199.00078        0.7170 
    200.02142        0.7609 
    201.01776        0.8234 
    202.01410        0.8871 
    203.01044        0.9276 
    204.00679        0.9635 
    205.00313        0.9988 
    206.02377        1.0329 
    207.02011        1.0659 
    208.01645        1.0873 
    209.01279        1.0981 
    210.00912        1.0998 
    211.00546        1.0998 
    212.00182        1.0982 
    213.02245        1.0925 
    214.01878        1.0676 
    215.01514        1.1008 
    216.01147        1.1349 
    217.00781        1.1646 
    218.00415        1.1713 
    219.00049        1.1953 
    220.02113        1.2014 
    221.01747        1.2416 
    222.01381        1.3101 
    223.01016        1.3653 
    224.00650        1.4135 
    225.00284        1.4494 
    226.02348        1.4841 
    227.01982        1.5178 
    228.01616        1.5458 
    229.01250        1.5529 
    230.00883        1.5544 
    231.00519        1.5720 
    232.00153        1.5789 
    233.02216        1.5780 
    234.01851        1.5732 
    235.01485        1.5263 
    236.01118        1.4856 
    237.00752        1.4365 
    238.00386        1.3785 
    239.00020        1.3233 
    240.02084        1.2595 
    241.01718        1.1926 
    242.01353        1.1726 
    243.00987        1.2408 
    244.00621        1.2982 
    245.00255        1.3436 
    246.02319        1.3794 
    247.01953        1.4137 
    248.01587        1.4452 
    249.01221        1.4504 
    250.00856        1.4782 
    251.00490        1.4821 
    252.00124        1.4827 
    253.02188        1.4818 
    254.01822        1.4783 
    255.01456        1.4620 
    256.01089        1.4199 
    257.00723        1.3726 
    258.00357        1.3233 
    259.02423        1.2632 
    260.02057        1.2003 
    261.01691        1.1360 
    262.01324        1.0717 
    263.00958        1.0058 
    264.00592        0.9367 
    265.00226        0.8658 
    266.02289        0.8045 
    267.01926        0.7186 
    268.01559        0.7163 
    269.01193        0.7154 
    270.00827        0.7192 
    271.00461        0.7775 
    272.00095        0.8227 
    273.02158        0.8586 
    274.01791        0.8937 
    275.01428        0.9279 
    276.01062        0.9611 
    277.00696        0.9786 
    278.00330        0.9930 
    279.02393        0.9953 
    280.02026        0.9954 
    281.01660        0.9941 
    282.01294        0.9893 
    283.00931        0.9626 
    284.00565        0.9546 
    285.00198        1.0335 
    286.02261        1.1376 
    287.01895        1.2411 
    288.01529        1.3241 
    289.01163        1.4129 
    290.00797        1.4833 
    291.00430        1.5509 
    292.00067        1.5903 
    293.02130        1.6577 
    294.01764        1.6939 
    295.01398        1.7375 
    296.01031        1.7688 
    297.00665        1.7980 
    298.00299        1.8307 
    299.02365        1.8345 
    300.01999        1.8610 
    301.01633        1.8641 
    302.01266        1.8642 
    303.00900        1.8625 
    304.00534        1.8563 
    305.00168        1.8252 
    306.02234        1.7817 
    307.01868        1.7279 
    308.01501        1.6766 
    309.01135        1.6148 
    310.00769        1.5516 
    311.00403        1.4884 
    312.00037        1.4239 
    313.02103        1.3540 
    314.01736        1.2854 
    315.01370        1.2141 
    316.01004        1.1374 
    317.00638        1.1359 
    318.00272        1.1462 
    319.02335        1.1652 
    320.01968        1.1677 
    321.01602        1.1710 
    322.01239        1.3003 
    323.00873        1.4155 
    324.00507        1.5522 
    325.00140        1.6585 
    326.02203        1.7632 
    327.01837        1.8665 
    328.01471        1.9382 
    329.01105        2.0397 
    330.00742        2.1105 
    331.00375        2.1798 
    332.00009        2.2468 
    333.02072        2.2858 
    334.01706        2.3516 
    335.01340        2.3884 
    336.00974        2.4233 
    337.00607        2.4572 
    338.00241        2.4865 
    339.02307        2.4932 
    340.01941        2.5105 
    341.01575        2.5224 
    342.01208        2.5244 
    343.00842        2.5237 
    344.00476        2.5205 
    345.00110        2.5065 
    346.02176        2.4565 
    347.01810        2.4086 
    348.01443        2.3513 
    349.01077        2.2970 
    350.00711        2.2354 
    351.00345        2.1705 
    352.02411        2.1029 
    353.02045        2.0355 
    354.01678        1.9669 
    355.01312        1.8980 
    356.00946        1.8280 
    357.00580        1.7578 
    358.00214        1.6869 
    359.02277        1.6142 
    360.01913        1.5430 
    361.01547        1.4719 
    362.01181        1.4008 
    363.00815        1.3299 
    364.00449        1.2589 
    365.00082        1.1880 
    366.02145        1.1153 
    367.01779        1.0444 
    368.01413        0.9757 
    369.01050        0.9063 
    370.00684        0.8378 
    371.00317        0.7631 
    372.02380        0.6900 
    373.02014        0.6299 
    374.01648        0.5563 
    375.01282        0.5786 
    376.00916        0.6506 
    377.00552        0.7530 
    378.00186        0.8237 
    379.02249        0.8936 
    380.01883        0.9629 
    381.01517        1.0306 
    382.01151        1.0679 
    383.00784        1.1310 
    384.00418        1.1680 
    385.00055        1.1983 
    386.02118        1.2065 
    387.01752        1.2399 
    388.01385        1.2725 
    389.01019        1.2982 
    390.00653        1.3105 
    391.00287        1.3396 
    392.02353        1.3438 
    393.01987        1.3444 
    394.01620        1.3440 
    395.01254        1.3418 
    396.00888        1.3332 
    397.00522        1.2993 
    398.00156        1.2574 
    399.02222        1.2009 
    400.01855        1.3113 
    401.01489        1.4506 
    402.01123        1.5897 
    403.00757        1.7284 
    404.00391        1.8649 
    405.00024        1.9720 
    406.02087        2.0771 
    407.01724        2.1811 
    408.01358        2.2845 
    409.00992        2.3554 
    410.00626        2.4503 
    411.00259        2.5218 
    412.02322        2.5793 
    413.01956        2.6328 
    414.01590        2.6909 
    415.01227        2.7347 
    416.00861        2.7703 
    417.00494        2.8037 
    418.00128        2.8285 
    419.02191        2.8406 
    420.01825        2.8441 
    421.01459        2.8680 
    422.01093        2.8715 
    423.00726        2.8712 
    424.00363        2.8685 
    425.02426        2.8571 
    426.02060        2.8084 
    427.01694        2.7577 
    428.01328        2.7001 
    429.00961        2.6454 
    430.00595        2.5830 
    431.00229        2.5173 
    432.02295        2.4490 
    433.01929        2.3806 
    434.01562        2.3115 
    435.01196        2.2417 
    436.00830        2.1716 
    437.00464        2.1014 
    438.00098        2.0304 
    439.02164        1.9580 
    440.01797        1.8870 
    441.01431        1.8159 
    442.01065        1.7449 
    443.00699        1.6738 
    444.00333        1.6026 
    445.02399        1.5298 
    446.02032        1.4592 
    447.01666        1.3876 
    448.01300        1.3171 
    449.00934        1.2459 
    450.00568        1.1769 
    451.00201        1.1066 
    452.02264        1.0374 
    453.01898        0.9667 
    454.01535        0.8917 
    455.01169        0.8271 
    456.00803        0.7624 
    457.00436        0.7100 
    458.00070        0.7186 
    459.02133        0.7884 
    460.01767        0.8568 
    461.01401        0.9134 
    462.01038        0.9621 
    463.00671        0.9982 
    464.00305        1.0453 
    465.02368        1.0800 
    466.02002        1.1020 
    467.01636        1.1343 
    468.01270        1.1365 
    469.00903        1.1536 
    470.00540        1.1644 
    471.00174        1.1656 
    472.02237        1.1641 
    473.01871        1.1579 
    474.01505        1.1142 
